0,Store ID,Gregorian Date,Hijri Date,Day,Greg. Month,Hijri Month,Location,Store Size,Parking,Mall,Work Hours,Cost/day,Promotion,Customer Base,Advertisements,Competition,Customers,Profit/day
1505,fil-3410,2009-12-26 00:00:00,1431-01-09,Saturday,December,Muharram,Center,Regular,300,No,12 hrs,SAR 7029.0,None,343695,0,5,9535,SAR 513065
1506,fil-3411,2009-12-26 00:00:00,1431-01-09,Saturday,December,Muharram,Center,Hyper,760,Yes,24 hrs,SAR 82228.0,Regular,663043,198912,11,6265,SAR 302617
1507,fil-3401,2009-12-27 00:00:00,1431-01-10,Sunday,December,Muharram,Center,Hyper,445,Yes,24 hrs,SAR 49301.0,None,290398,0,10,4193,SAR 217284
1508,fil-3402,2009-12-27 00:00:00,1431-01-10,Sunday,December,Muharram,Center,Hyper,640,No,18 hrs,SAR 33610.0,Regular,667412,200223,8,12008,SAR 609845
1509,fil-3403,2009-12-27 00:00:00,1431-01-10,Sunday,December,Muharram,Center,Grande,1995,No,18 hrs,SAR 776489.0,None,729727,0,6,14865,SAR 798659
1510,fil-3404,2009-12-27 00:00:00,1431-01-10,Sunday,December,Muharram,,Grande,3125,Yes,18 hrs,SAR 353457.0,None,488375,0,2,8648,SAR 424990
1511,fil-3405,2009-12-27 00:00:00,1431-01-10,Sun,December,Muharram,Center,,925,Yes,12 hrs,SAR 18075.0,None,452526,0,5,5545,SAR 298623
1512,fil-3406,2009-12-27 00:00:00,1431-01-10,,Dec,Muharram,Border,Hyper,1645,Yes,24 hrs,SAR 20569.0,None,236392,0,2,3301,SAR 171802
1513,fil-3407,2009-12-27 00:00:00,1431-01-10,Sunday,Dec,Muharram,Center,Hyper,870,Yes,12 hrs,SAR 13960.0,Regular,589466,235786,10,6366,SAR 311673
1514,fil-3408,2009-12-27 00:00:00,1431-01-10,Sunday,Dec,Muharram,Outskirts,Regular,1535,No,12 hrs,SAR 1314.0,Regular,174225,69690,1,1632,SAR 81838
1515,fil-3409,2009-12-27 00:00:00,1431-01-10,Sunday,December,Muharram,Border,Grande,3070,No,12 hrs,SAR 125764.0,Grand,650784,195235,1,16915,SAR 759246
1516,fil-3410,2009-12-27 00:00:00,1431-01-10,Sunday,December,Muharram,Center,Regular,300,No,12 hrs,SAR 7275.0,None,343687,0,5,7210,SAR 410212
1517,fil-3411,2009-12-27 00:00:00,1431-01-10,Sunday,December,Muharram,Center,Hyper,760,Yes,24 hrs,SAR 80249.0,None,663034,0,11,10117,SAR 481662
1518,fil-3401,2009-12-28 00:00:00,1431-01-11,Monday,,Muharram,Center,,445,Yes,24 hrs,SAR 42059.0,None,290397,0,10,2439,SAR 138405
1519,fil-3402,2009-12-28 00:00:00,1431-01-11,Monday,,Muharram,Center,Hyper,640,No,18 hrs,SAR 33957.0,None,667412,0,8,9466,SAR 482006
1520,fil-3403,2009-12-28 00:00:00,1431-01-11,,December,Muharram,Center,Grande,1995,No,18 hrs,SAR 861615.0,Regular,729725,437835,6,10431,SAR 499302
1521,fil-3404,2009-12-28 00:00:00,1431-01-11,Monday,,Muharram,Border,Grande,3125,Yes,18 hrs,SAR 391799.0,None,488372,0,2,6301,SAR 299166
1522,fil-3405,2009-12-28 00:00:00,1431-01-11,Monday,,Muharram,Center,Hyper,925,Yes,12 hrs,SAR 20320.0,None,452531,0,5,6177,SAR 305798
1523,fil-3406,2009-12-28 00:00:00,1431-01-11,Monday,Dec,Muharram,Border,Hyper,1645,Yes,24 hrs,SAR 23256.0,None,236393,0,2,4132,SAR 215917
1524,fil-3407,2009-12-28 00:00:00,1431-01-11,,Dec,Muharram,Center,Hyper,870,Yes,12 hrs,SAR 14764.0,None,589472,0,10,7427,SAR 420664
1525,fil-3408,2009-12-28 00:00:00,1431-01-11,Monday,December,Muharram,,,1535,No,12 hrs,SAR 918.0,Regular,174221,104532,1,4716,SAR 264159
1526,fil-3409,2009-12-28 00:00:00,1431-01-11,Monday,December,Muharram,Border,Grande,3070,No,12 hrs,SAR 148799.0,Regular,650780,325390,1,7910,SAR 403152
1527,fil-3410,2009-12-28 00:00:00,1431-01-11,Monday,Dec,Muharram,Center,Regular,300,No,12 hrs,SAR 5734.0,Grand,343687,137474,5,3726,SAR 178271
1528,fil-3411,2009-12-28 00:00:00,1431-01-11,Monday,December,Muharram,Center,Hyper,760,Yes,24 hrs,SAR 90912.0,None,663047,0,11,9612,SAR 514518
1529,fil-3401,2009-12-29 00:00:00,1431-01-12,Tuesday,December,Muharram,Center,,445,Yes,24 hrs,SAR 39638.0,Grand,290399,87119,10,5062,SAR 244101
1530,fil-3402,2009-12-29 00:00:00,1431-01-12,Tuesday,December,Muharram,Center,Hyper,640,No,18 hrs,SAR 35350.0,None,667417,0,8,11996,SAR 668287
1531,fil-3403,2009-12-29 00:00:00,1431-01-12,Tuesday,,Muharram,Center,Grande,1995,No,18 hrs,SAR 683100.0,None,729727,0,6,5494,SAR 314125
1532,fil-3404,2009-12-29 00:00:00,1431-01-12,Tuesday,December,Muharram,Border,Grande,3125,Yes,18 hrs,SAR 326490.0,Regular,488384,293030,2,9083,SAR 402557
1533,fil-3405,2009-12-29 00:00:00,1431-01-12,Tuesday,December,Muharram,Center,Hyper,925,Yes,12 hrs,SAR 15169.0,None,452526,0,5,3997,SAR 221145
1534,fil-3406,2009-12-29 00:00:00,1431-01-12,Tuesday,December,Muharram,Border,Hyper,1645,Yes,24 hrs,SAR 19994.0,None,236406,0,2,3876,SAR 191720
1535,fil-3407,2009-12-29 00:00:00,1431-01-12,Tuesday,December,Muharram,,Hyper,870,Yes,12 hrs,SAR 11923.0,None,589460,0,10,11133,SAR 530107
1536,fil-3408,2009-12-29 00:00:00,1431-01-12,Tuesday,December,Muharram,Outskirts,,1535,No,12 hrs,SAR 1231.0,None,174224,0,1,1933,SAR 112462
1537,fil-3409,2009-12-29 00:00:00,1431-01-12,Tuesday,December,Muharram,Border,Grande,3070,No,12 hrs,SAR 149835.0,Regular,650780,325390,1,17633,SAR 839534
1538,fil-3410,2009-12-29 00:00:00,1431-01-12,Tuesday,December,Muharram,Center,Regular,300,No,12 hrs,SAR 8183.0,Regular,343692,137476,5,5150,SAR 218760
1539,fil-3411,2009-12-29 00:00:00,1431-01-12,Tuesday,,Muharram,Center,Hyper,760,Yes,24 hrs,SAR 78028.0,Grand,663033,265213,11,8354,SAR 494320
1540,fil-3401,2009-12-30 00:00:00,1431-01-13,Wed,December,Muharram,Center,Hyper,445,Yes,24 hrs,SAR 47880.0,Regular,290398,87119,10,3535,SAR 181291
1541,fil-3402,2009-12-30 00:00:00,1431-01-13,Wednesday,December,Muharram,Center,Hyper,640,No,18 hrs,SAR 32916.0,Grand,667409,333704,8,13216,SAR 700112
1542,fil-3403,2009-12-30 00:00:00,1431-01-13,Wednesday,December,Muharram,Center,Grande,1995,No,18 hrs,SAR 935813.0,None,729726,0,6,15395,SAR 667839
1543,fil-3404,2009-12-30 00:00:00,1431-01-13,Wednesday,December,Muharram,Border,Grande,3125,Yes,18 hrs,SAR 382286.0,None,488370,0,2,8972,SAR 463586
1544,fil-3405,2009-12-30 00:00:00,1431-01-13,Wednesday,December,Muharram,Center,Hyper,925,Yes,12 hrs,SAR 19223.0,Regular,452525,135757,5,5163,SAR 279619
1545,fil-3406,2009-12-30 00:00:00,1431-01-13,,December,Muharram,Border,Hyper,1645,Yes,24 hrs,SAR 25019.0,None,236395,0,2,3140,SAR 135270
1546,fil-3407,2009-12-30 00:00:00,1431-01-13,Wed,December,Muharram,Center,Hyper,870,Yes,12 hrs,SAR 12837.0,None,589469,0,10,5319,SAR 248498
1547,fil-3408,2009-12-30 00:00:00,1431-01-13,Wednesday,,Muharram,Outskirts,Regular,1535,No,12 hrs,SAR 945.0,None,174232,0,1,1761,SAR 91114
1548,fil-3409,2009-12-30 00:00:00,1431-01-13,Wednesday,December,Muharram,Border,Grande,3070,No,12 hrs,SAR 154839.0,None,650782,0,1,13724,SAR 664858
1549,fil-3410,2009-12-30 00:00:00,1431-01-13,Wednesday,December,Muharram,,Regular,300,No,12 hrs,SAR 7737.0,Regular,343694,103108,5,5825,SAR 300816
1550,fil-3411,2009-12-30 00:00:00,1431-01-13,Wednesday,December,Muharram,Center,Hyper,760,Yes,24 hrs,SAR 79273.0,Regular,663034,265213,11,6277,SAR 322610
1551,fil-3401,2009-12-31 00:00:00,1431-01-14,Thursday,December,Muharram,Center,Hyper,445,Yes,24 hrs,SAR 46214.0,Regular,290406,116162,10,4460,SAR 232079
1552,fil-3402,2009-12-31 00:00:00,1431-01-14,Thursday,December,Muharram,Center,Hyper,640,No,18 hrs,SAR 33160.0,Regular,667409,200222,8,7736,SAR 386103
1553,fil-3403,2009-12-31 00:00:00,1431-01-14,Thu,December,Muharram,Center,Grande,1995,No,18 hrs,SAR 687503.0,Grand,729728,218918,6,16095,SAR 808410
1554,fil-3404,2009-12-31 00:00:00,1431-01-14,Thursday,December,Muharram,Border,Grande,3125,Yes,18 hrs,SAR 308761.0,None,488372,0,2,5444,SAR 305747
1555,fil-3405,2009-12-31 00:00:00,1431-01-14,Thursday,December,Muharram,Center,Hyper,925,Yes,12 hrs,SAR 17329.0,None,452526,0,5,7511,SAR 435745
1556,fil-3406,2009-12-31 00:00:00,1431-01-14,Thursday,December,Muharram,Border,Hyper,1645,Yes,24 hrs,SAR 22961.0,Regular,236398,94559,2,2426,SAR 139839
1557,fil-3407,2009-12-31 00:00:00,1431-01-14,Thursday,December,Muharram,Center,Hyper,870,Yes,12 hrs,SAR 13322.0,None,589460,0,10,9148,SAR 463441
1558,fil-3408,2009-12-31 00:00:00,1431-01-14,,December,Muharram,Outskirts,Regular,1535,No,12 hrs,SAR 1135.0,None,174219,0,1,3631,SAR 175926
1559,fil-3409,2009-12-31 00:00:00,1431-01-14,Thu,December,Muharram,Border,Grande,3070,No,12 hrs,SAR 138999.0,None,650781,0,1,14759,SAR 709384
1560,fil-3410,2009-12-31 00:00:00,1431-01-14,Thursday,December,Muharram,Center,,300,No,12 hrs,SAR 6529.0,None,343693,0,5,5433,SAR 279272
1561,fil-3411,2009-12-31 00:00:00,1431-01-14,Thursday,December,Muharram,Center,Hyper,760,Yes,24 hrs,SAR 73217.0,Regular,663046,265218,11,5085,SAR 255312
1562,fil-3401,2010-01-01 00:00:00,1431-01-15,Friday,January,Muharram,Center,,445,Yes,24 hrs,SAR 43405.0,None,290402,0,10,4482,SAR 236302
1563,fil-3402,2010-01-01 00:00:00,1431-01-15,Friday,January,Muharram,Center,Hyper,640,No,18 hrs,SAR 35795.0,Regular,667406,200221,8,8657,SAR 389788
1564,fil-3403,2010-01-01 00:00:00,1431-01-15,Friday,January,Muharram,Center,Grande,1995,No,18 hrs,SAR 692989.0,Regular,729740,218922,6,15952,SAR 867296
1565,fil-3404,2010-01-01 00:00:00,1431-01-15,Friday,January,Muharram,Border,Grande,3125,Yes,18 hrs,SAR 440193.0,Grand,488385,293031,2,6341,SAR 303424
1566,fil-3405,2010-01-01 00:00:00,1431-01-15,Friday,January,Muharram,Center,,925,Yes,12 hrs,SAR 19846.0,None,452527,0,5,8055,SAR 411732
1567,fil-3406,2010-01-01 00:00:00,1431-01-15,,January,Muharram,Border,Hyper,1645,Yes,24 hrs,SAR 23058.0,None,236393,0,2,4458,SAR 252428
1568,fil-3407,2010-01-01 00:00:00,1431-01-15,,January,Muharram,Center,Hyper,870,Yes,12 hrs,SAR 11908.0,Regular,589471,294735,10,7989,SAR 362928
1569,fil-3408,2010-01-01 00:00:00,1431-01-15,,Jan,Muharram,Outskirts,Regular,1535,No,12 hrs,SAR 1193.0,None,174221,0,1,1921,SAR 102875
1570,fil-3409,2010-01-01 00:00:00,1431-01-15,Friday,January,Muharram,Border,,3070,No,12 hrs,SAR 155648.0,None,650783,0,1,20444,SAR 735031
1571,fil-3410,2010-01-01 00:00:00,1431-01-15,Friday,January,Muharram,Center,Regular,300,No,12 hrs,SAR 5931.0,None,343695,0,5,3973,SAR 174473
1572,fil-3411,2010-01-01 00:00:00,1431-01-15,Fri,January,Muharram,Center,Hyper,760,Yes,24 hrs,SAR 81796.0,None,663044,0,11,11742,SAR 480907
1573,fil-3401,2010-01-02 00:00:00,1431-01-16,Sat,January,Muharram,Center,Hyper,445,Yes,24 hrs,SAR 44842.0,None,290405,0,10,2285,SAR 127159
1574,fil-3402,2010-01-02 00:00:00,1431-01-16,,January,Muharram,Center,Hyper,640,No,18 hrs,SAR 39311.0,None,667416,0,8,8147,SAR 328457
1575,fil-3403,2010-01-02 00:00:00,1431-01-16,Saturday,January,Muharram,Center,Grande,1995,No,18 hrs,SAR 797498.0,Regular,729733,291893,6,18160,SAR 807582
1576,fil-3404,2010-01-02 00:00:00,1431-01-16,Saturday,January,Muharram,Border,Grande,3125,Yes,18 hrs,SAR 386567.0,Regular,488370,195348,2,7719,SAR 370519
1577,fil-3405,2010-01-02 00:00:00,1431-01-16,Saturday,January,Muharram,Center,Hyper,925,Yes,12 hrs,SAR 17892.0,Grand,452526,271515,5,5729,SAR 267213
1578,fil-3406,2010-01-02 00:00:00,1431-01-16,Saturday,January,Muharram,Border,Hyper,1645,Yes,24 hrs,SAR 26528.0,None,236396,0,2,3743,SAR 211774
1579,fil-3407,2010-01-02 00:00:00,1431-01-16,Saturday,January,Muharram,Center,Hyper,870,Yes,12 hrs,SAR 11925.0,None,589470,0,10,9289,SAR 465047
1580,fil-3408,2010-01-02 00:00:00,1431-01-16,Sat,January,Muharram,Outskirts,Regular,1535,No,12 hrs,SAR 1010.0,Regular,174229,52268,1,1947,SAR 78566
1581,fil-3409,2010-01-02 00:00:00,1431-01-16,Saturday,,Muharram,Border,,3070,No,12 hrs,SAR 143755.0,None,650784,0,1,12047,SAR 644495
1582,fil-3410,2010-01-02 00:00:00,1431-01-16,Saturday,,Muharram,Center,Regular,300,No,12 hrs,SAR 7800.0,None,343700,0,5,4768,SAR 209041
1583,fil-3411,2010-01-02 00:00:00,1431-01-16,Saturday,,Muharram,Center,Hyper,760,Yes,24 hrs,SAR 74578.0,None,663035,0,11,11559,SAR 647571
1584,fil-3401,2010-01-03 00:00:00,1431-01-17,Sun,,Muharram,,Hyper,445,Yes,24 hrs,SAR 48251.0,None,290400,0,10,3659,SAR 189305
1585,fil-3402,2010-01-03 00:00:00,1431-01-17,Sunday,January,Muharram,,Hyper,640,No,18 hrs,SAR 38091.0,None,667417,0,8,8652,SAR 429573
1586,fil-3403,2010-01-03 00:00:00,1431-01-17,Sunday,January,Muharram,Center,Grande,1995,No,18 hrs,SAR 766508.0,None,729728,0,6,8793,SAR 508821
1587,fil-3404,2010-01-03 00:00:00,1431-01-17,Sun,January,Muharram,Border,Grande,3125,Yes,18 hrs,SAR 420861.0,Regular,488371,146511,2,7538,SAR 377746
1588,fil-3405,2010-01-03 00:00:00,1431-01-17,Sunday,January,Muharram,Center,Hyper,925,Yes,12 hrs,SAR 18052.0,Regular,452531,181012,5,8233,SAR 427965
1589,fil-3406,2010-01-03 00:00:00,1431-01-17,Sunday,January,Muharram,Border,Hyper,1645,Yes,24 hrs,SAR 22771.0,Grand,236393,141835,2,4681,SAR 226669
1590,fil-3407,2010-01-03 00:00:00,1431-01-17,,January,Muharram,Center,Hyper,870,Yes,12 hrs,SAR 14993.0,None,589462,0,10,4633,SAR 241383
1591,fil-3408,2010-01-03 00:00:00,1431-01-17,Sun,January,Muharram,,Regular,1535,No,12 hrs,SAR 1156.0,None,174220,0,1,4463,SAR 213293
1592,fil-3409,2010-01-03 00:00:00,1431-01-17,Sunday,January,Muharram,Border,Grande,3070,No,12 hrs,SAR 134490.0,Regular,650794,195238,1,8801,SAR 414570
1593,fil-3410,2010-01-03 00:00:00,1431-01-17,Sunday,January,Muharram,Center,Regular,300,No,12 hrs,SAR 7895.0,None,343690,0,5,5273,SAR 234107
1594,fil-3411,2010-01-03 00:00:00,1431-01-17,Sunday,,Muharram,Center,Hyper,760,Yes,24 hrs,SAR 70032.0,None,663045,0,11,8354,SAR 409195
1595,fil-3401,2010-01-04 00:00:00,1431-01-18,Monday,January,Muharram,,Hyper,445,Yes,24 hrs,SAR 45824.0,None,290400,0,10,3875,SAR 195455
1596,fil-3402,2010-01-04 00:00:00,1431-01-18,Monday,January,Muharram,Center,Hyper,640,No,18 hrs,SAR 32334.0,None,667415,0,8,13062,SAR 607154
1597,fil-3403,2010-01-04 00:00:00,1431-01-18,Monday,January,Muharram,Center,Grande,1995,No,18 hrs,SAR 826262.0,None,729737,0,6,7889,SAR 396301
1598,fil-3404,2010-01-04 00:00:00,1431-01-18,Monday,January,Muharram,Border,Grande,3125,Yes,18 hrs,SAR 347241.0,None,488372,0,2,4566,SAR 225671
1599,fil-3405,2010-01-04 00:00:00,1431-01-18,Monday,January,Muharram,Center,Hyper,925,Yes,12 hrs,SAR 16830.0,Regular,452532,226266,5,6990,SAR 389801
1600,fil-3406,2010-01-04 00:00:00,1431-01-18,Monday,Jan,Muharram,Border,,1645,Yes,24 hrs,SAR 23244.0,Regular,236393,118196,2,2335,SAR 109064
1601,fil-3407,2010-01-04 00:00:00,1431-01-18,Monday,Jan,Muharram,Center,Hyper,870,Yes,12 hrs,SAR 14482.0,Grand,589467,235786,10,4244,SAR 226203
1602,fil-3408,2010-01-04 00:00:00,1431-01-18,Monday,January,Muharram,Outskirts,Regular,1535,No,12 hrs,SAR 884.0,None,174220,0,1,2525,SAR 135947
1603,fil-3409,2010-01-04 00:00:00,1431-01-18,Monday,January,Muharram,Border,Grande,3070,No,12 hrs,SAR 137226.0,None,650781,0,1,17071,SAR 810940
1604,fil-3410,2010-01-04 00:00:00,1431-01-18,,January,Muharram,Center,Regular,300,No,12 hrs,SAR 7202.0,Regular,343697,137478,5,5543,SAR 252275
1605,fil-3411,2010-01-04 00:00:00,1431-01-18,Monday,January,Muharram,Center,Hyper,760,Yes,24 hrs,SAR 70172.0,None,663034,0,11,8566,SAR 405429
1606,fil-3401,2010-01-05 00:00:00,1431-01-19,Tuesday,January,Muharram,,Hyper,445,Yes,24 hrs,SAR 47615.0,Regular,290402,145201,10,3747,SAR 173870
1607,fil-3402,2010-01-05 00:00:00,1431-01-19,Tuesday,January,Muharram,Center,Hyper,640,No,18 hrs,SAR 41657.0,None,667415,0,8,8268,SAR 459697
1608,fil-3403,2010-01-05 00:00:00,1431-01-19,Tuesday,January,Muharram,Center,Grande,1995,No,18 hrs,SAR 848592.0,None,729728,0,6,14849,SAR 715742
1609,fil-3404,2010-01-05 00:00:00,1431-01-19,Tuesday,January,Muharram,Border,Grande,3125,Yes,18 hrs,SAR 324927.0,None,488371,0,2,8061,SAR 342374
1610,fil-3405,2010-01-05 00:00:00,1431-01-19,Tuesday,January,Muharram,Center,Hyper,925,Yes,12 hrs,SAR 14425.0,None,452535,0,5,4393,SAR 206583
1611,fil-3406,2010-01-05 00:00:00,1431-01-19,Tuesday,January,Muharram,Border,Hyper,1645,Yes,24 hrs,SAR 23909.0,Regular,236401,118200,2,4510,SAR 238979
1612,fil-3407,2010-01-05 00:00:00,1431-01-19,Tuesday,January,Muharram,Center,,870,Yes,12 hrs,SAR 12726.0,Regular,589461,353676,10,8802,SAR 460298
1613,fil-3408,2010-01-05 00:00:00,1431-01-19,Tuesday,January,Muharram,,Regular,1535,No,12 hrs,SAR 1054.0,Grand,174220,52266,1,4400,SAR 250928
1614,fil-3409,2010-01-05 00:00:00,1431-01-19,Tuesday,January,Muharram,Border,Grande,3070,No,12 hrs,SAR 119502.0,None,650782,0,1,14330,SAR 662937
1615,fil-3410,2010-01-05 00:00:00,1431-01-19,,,Muharram,Center,Regular,300,No,12 hrs,SAR 7556.0,None,343687,0,5,5282,SAR 290962
1616,fil-3411,2010-01-05 00:00:00,1431-01-19,Tuesday,January,Muharram,Center,Hyper,760,Yes,24 hrs,SAR 81972.0,Regular,663050,265220,11,7091,SAR 357561
1617,fil-3401,2010-01-06 00:00:00,1431-01-20,Wednesday,January,Muharram,Center,Hyper,445,Yes,24 hrs,SAR 42910.0,None,290401,0,10,3756,SAR 180165
1618,fil-3402,2010-01-06 00:00:00,1431-01-20,Wednesday,January,Muharram,Center,Hyper,640,No,18 hrs,SAR 40090.0,Regular,667411,200223,8,12226,SAR 567659
1619,fil-3403,2010-01-06 00:00:00,1431-01-20,Wednesday,January,Muharram,Center,Grande,1995,No,18 hrs,SAR 869562.0,None,729735,0,6,15090,SAR 820308
1620,fil-3404,2010-01-06 00:00:00,1431-01-20,Wednesday,January,Muharram,Border,Grande,3125,Yes,18 hrs,SAR 362483.0,None,488372,0,2,9732,SAR 492967
1621,fil-3405,2010-01-06 00:00:00,1431-01-20,Wednesday,Jan,Muharram,Center,Hyper,925,Yes,12 hrs,SAR 17235.0,None,452526,0,5,5000,SAR 283210
1622,fil-3406,2010-01-06 00:00:00,1431-01-20,Wednesday,January,Muharram,Border,Hyper,1645,Yes,24 hrs,SAR 23420.0,None,236404,0,2,2864,SAR 131319
1623,fil-3407,2010-01-06 00:00:00,1431-01-20,,January,Muharram,Center,Hyper,870,Yes,12 hrs,SAR 11822.0,Regular,589463,176838,10,6329,SAR 341926
1624,fil-3408,2010-01-06 00:00:00,1431-01-20,Wednesday,January,Muharram,Outskirts,Regular,1535,No,12 hrs,SAR 1029.0,Regular,174230,69692,1,4010,SAR 194268
1625,fil-3409,2010-01-06 00:00:00,1431-01-20,Wednesday,January,Muharram,Border,Grande,3070,No,12 hrs,SAR 155096.0,Grand,650783,390469,1,7895,SAR 342012
1626,fil-3410,2010-01-06 00:00:00,1431-01-20,Wednesday,January,Muharram,Center,Regular,300,No,12 hrs,SAR 7257.0,None,343696,0,5,4826,SAR 232246
1627,fil-3411,2010-01-06 00:00:00,1431-01-20,Wednesday,,Muharram,Center,Hyper,760,Yes,24 hrs,SAR 69858.0,None,663034,0,11,3978,SAR 226704
1628,fil-3401,2010-01-07 00:00:00,1431-01-21,Thursday,Jan,Muharram,Center,,445,Yes,24 hrs,SAR 49050.0,None,290412,0,10,4181,SAR 182067
1629,fil-3402,2010-01-07 00:00:00,1431-01-21,Thursday,January,Muharram,Center,Hyper,640,No,18 hrs,SAR 36363.0,None,667416,0,8,9984,SAR 475881
1630,fil-3403,2010-01-07 00:00:00,1431-01-21,Thursday,January,Muharram,Center,Grande,1995,No,18 hrs,SAR 859473.0,Regular,729734,291893,6,15273,SAR 824123
1631,fil-3404,2010-01-07 00:00:00,1431-01-21,Thursday,January,Muharram,Border,Grande,3125,Yes,18 hrs,SAR 341188.0,None,488387,0,2,10865,SAR 581703
1632,fil-3405,2010-01-07 00:00:00,1431-01-21,Thu,January,Muharram,Center,Hyper,925,Yes,12 hrs,SAR 16947.0,None,452528,0,5,7763,SAR 417331
1633,fil-3406,2010-01-07 00:00:00,1431-01-21,Thursday,Jan,Muharram,Border,Hyper,1645,Yes,24 hrs,SAR 24656.0,None,236392,0,2,3588,SAR 149801
1634,fil-3407,2010-01-07 00:00:00,1431-01-21,Thursday,January,Muharram,Center,Hyper,870,Yes,12 hrs,SAR 13693.0,None,589468,0,10,7906,SAR 340243
1635,fil-3408,2010-01-07 00:00:00,1431-01-21,Thursday,January,Muharram,Outskirts,Regular,1535,No,12 hrs,SAR 815.0,Regular,174233,104539,1,2801,SAR 153210
1636,fil-3409,2010-01-07 00:00:00,1431-01-21,Thursday,Jan,Muharram,Border,Grande,3070,No,12 hrs,SAR 149691.0,Regular,650793,260317,1,9117,SAR 454272
1637,fil-3410,2010-01-07 00:00:00,1431-01-21,Thursday,January,Muharram,Center,Regular,300,No,12 hrs,SAR 7421.0,Grand,343688,137475,5,5010,SAR 263440
1638,fil-3411,2010-01-07 00:00:00,1431-01-21,Thursday,January,Muharram,Center,,760,Yes,24 hrs,SAR 91788.0,None,663034,0,11,11465,SAR 548576
1639,fil-3401,2010-01-08 00:00:00,1431-01-22,Friday,,Muharram,Center,,445,Yes,24 hrs,SAR 50400.0,Grand,290410,116164,10,2842,SAR 134254
1640,fil-3402,2010-01-08 00:00:00,1431-01-22,Friday,January,Muharram,Center,Hyper,640,No,18 hrs,SAR 34018.0,None,667409,0,8,12877,SAR 590008
1641,fil-3403,2010-01-08 00:00:00,1431-01-22,Friday,January,Muharram,Center,Grande,1995,No,18 hrs,SAR 688437.0,None,729743,0,6,8877,SAR 489076
1642,fil-3404,2010-01-08 00:00:00,1431-01-22,Friday,,Muharram,,Grande,3125,Yes,18 hrs,SAR 315368.0,Regular,488372,293023,2,9578,SAR 420669
1643,fil-3405,2010-01-08 00:00:00,1431-01-22,Fri,January,Muharram,Center,Hyper,925,Yes,12 hrs,SAR 17666.0,None,452531,0,5,9003,SAR 435923
1644,fil-3406,2010-01-08 00:00:00,1431-01-22,Friday,Jan,Muharram,Border,Hyper,1645,Yes,24 hrs,SAR 24066.0,None,236397,0,2,2891,SAR 153506
1645,fil-3407,2010-01-08 00:00:00,1431-01-22,Friday,Jan,Muharram,Center,Hyper,870,Yes,12 hrs,SAR 12152.0,None,589471,0,10,7290,SAR 318603
1646,fil-3408,2010-01-08 00:00:00,1431-01-22,Friday,January,Muharram,Outskirts,,1535,No,12 hrs,SAR 985.0,None,174220,0,1,4393,SAR 202807
1647,fil-3409,2010-01-08 00:00:00,1431-01-22,Friday,January,Muharram,Border,Grande,3070,No,12 hrs,SAR 148042.0,Regular,650789,325394,1,9084,SAR 496472
1648,fil-3410,2010-01-08 00:00:00,1431-01-22,Fri,January,Muharram,Center,,300,No,12 hrs,SAR 7425.0,Regular,343687,103106,5,4744,SAR 266950
1649,fil-3411,2010-01-08 00:00:00,1431-01-22,Friday,January,Muharram,,Hyper,760,Yes,24 hrs,SAR 76748.0,Grand,663038,397822,11,7526,SAR 417089
1650,fil-3401,2010-01-09 00:00:00,1431-01-23,Saturday,Jan,Muharram,,,445,Yes,24 hrs,SAR 40023.0,Regular,290406,116162,10,4787,SAR 270282
1651,fil-3402,2010-01-09 00:00:00,1431-01-23,Saturday,January,Muharram,Center,Hyper,640,No,18 hrs,SAR 39730.0,Grand,667418,400450,8,12696,SAR 665095
1652,fil-3403,2010-01-09 00:00:00,1431-01-23,Saturday,January,Muharram,Center,Grande,1995,No,18 hrs,SAR 594320.0,None,729740,0,6,12183,SAR 683908
1653,fil-3404,2010-01-09 00:00:00,1431-01-23,Saturday,January,Muharram,Border,Grande,3125,Yes,18 hrs,SAR 383486.0,None,488371,0,2,5903,SAR 323219
1654,fil-3405,2010-01-09 00:00:00,1431-01-23,Sat,January,Muharram,Center,Hyper,925,Yes,12 hrs,SAR 20083.0,Regular,452540,135762,5,6154,SAR 284856
1655,fil-3406,2010-01-09 00:00:00,1431-01-23,,January,Muharram,Border,Hyper,1645,Yes,24 hrs,SAR 21511.0,None,236396,0,2,4320,SAR 204598
1656,fil-3407,2010-01-09 00:00:00,1431-01-23,Saturday,January,Muharram,Center,,870,Yes,12 hrs,SAR 10996.0,None,589461,0,10,11784,SAR 542421
1657,fil-3408,2010-01-09 00:00:00,1431-01-23,Saturday,January,Muharram,Outskirts,Regular,1535,No,12 hrs,SAR 934.0,None,174225,0,1,3095,SAR 152470
1658,fil-3409,2010-01-09 00:00:00,1431-01-23,Saturday,,Muharram,Border,Grande,3070,No,12 hrs,SAR 141644.0,None,650784,0,1,12803,SAR 589985
1659,fil-3410,2010-01-09 00:00:00,1431-01-23,Saturday,January,Muharram,Center,Regular,300,No,12 hrs,SAR 8530.0,Regular,343691,137476,5,7548,SAR 387836
1660,fil-3411,2010-01-09 00:00:00,1431-01-23,Saturday,January,Muharram,Center,Hyper,760,Yes,24 hrs,SAR 80826.0,Regular,663034,198910,11,11778,SAR 636815
1661,fil-3401,2010-01-10 00:00:00,1431-01-24,Sunday,January,Muharram,Center,Hyper,445,Yes,24 hrs,SAR 40140.0,Regular,290398,116159,10,3962,SAR 234714
